UID        PID  PPID  C STIME TTY          TIME CMD
seank     1769  1597  0 Jan04 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
seank     1773  1751  0 Jan04 ?        00:00:00 /usr/lib/ibus/ibus-dconf
seank     1776  1751  0 Jan04 ?        00:00:02 /usr/lib/ibus/ibus-ui-gtk3
seank     1783  1597  0 Jan04 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
seank     1802  1751  0 Jan04 ?        00:00:02 /usr/lib/ibus/ibus-engine-simple
seank     1816  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
seank     1818  1597  0 Jan04 ?        00:00:09 /usr/lib/unity-settings-daemon/unity-settings-daemon
seank     1826  1597  0 Jan04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
seank     1827  1597  0 Jan04 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
seank     1832  1597  0 Jan04 ?        00:00:23 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
seank     1835  1826  0 Jan04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
seank     1846  1597  0 Jan04 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
seank     1855  1597  0 Jan04 ?        00:00:00 /usr/lib/dconf/dconf-service
seank     1866  1597  0 Jan04 ?        00:15:48 compiz
seank     1873  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
seank     1874  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
seank     1875  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
seank     1881  1597  0 Jan04 ?        00:00:08 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
seank     1883  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
seank     1884  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
seank     1886  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
seank     1892  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
seank     1894  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
seank     1932  1597  0 Jan04 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
seank     1938  1597  0 Jan04 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
seank     1966  1597  0 Jan04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
seank     1982  1827  0 Jan04 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
seank     1987  1827  0 Jan04 ?        00:00:03 nautilus -n
seank     1988  1827  0 Jan04 ?        00:00:03 nm-applet
seank     1989  1827  0 Jan04 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
seank     1992  1827  0 Jan04 ?        00:00:31 /usr/bin/gnome-software --gapplication-service
seank     2014  1597  0 Jan04 ?        00:00:02 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2020     1  0 Jan04 ?        00:01:01 /usr/lib/udisks2/udisksd --no-debug
seank     2021  1966  0 Jan04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1966x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1966/2
seank     2040  1597  0 Jan04 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
seank     2047  1597  0 Jan04 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
seank     2049  1966  0 Jan04 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1966x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1966/3
seank     2053  1597  0 Jan04 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
seank     2061  1597  0 Jan04 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
root      2066     1  0 Jan04 ?        00:00:02 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
seank     2067  2047  0 Jan04 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2047x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2047/2
seank     2078  1597  0 Jan04 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
seank     2108  1597  0 Jan04 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
seank     2144  1827  0 Jan04 ?        00:00:04 zeitgeist-datahub
seank     2151  1597  0 Jan04 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
seank     2155  2151  0 Jan04 ?        00:00:00 /usr/bin/zeitgeist-daemon
seank     2162  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
seank     2220  2377  0 19:32 pts/18   00:00:00 bash
nobody    2247   893  0 Jan04 ?        00:00:15 /usr/sbin/dnsmasq --conf-file --no-hosts --keep-in-foreground --bind-interfaces --except-interface=lo --clear-on-reload --strict-order --listen-address=192.168.69.1 --dhcp-range=192.168.69.10,192.168.69.254,60m --dhcp-option=option:router,192.168.69.1 --dhcp-lease-max=50 --pid-file=/var/run/nm-dnsmasq-wlp2s0b1.pid --conf-dir=/etc/NetworkManager/dnsmasq-shared.d
root      2294  1597  0 19:33 pts/18   00:00:00 dbus-launch --autolaunch ff29e77807d94e81af5711baffdb6277 --binary-syntax --close-stderr
root      2295  1597  0 19:33 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
seank     2347  1827  0 Jan04 ?        00:00:05 update-notifier
seank     2377  1597  0 Jan04 ?        00:00:25 /usr/lib/gnome-terminal/gnome-terminal-server
seank     2384  2377  0 Jan04 pts/2    00:00:00 bash
seank     2404  1827  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      2495     2  0 19:43 ?        00:00:00 [kworker/u8:2]
root      2549     2  0 19:47 ?        00:00:00 [kworker/2:3]
root      2575     2  0 19:49 ?        00:00:00 [kworker/u8:0]
root      2578     2  0 19:49 ?        00:00:00 [kworker/1:3]
root      2649     2  0 19:52 ?        00:00:00 [kworker/0:3]
root      2696     2  0 19:53 ?        00:00:00 [kworker/2:0]
root      2824     2  0 19:58 ?        00:00:00 [kworker/0:2]
root      2871     2  0 19:59 ?        00:00:00 [kworker/3:0]
root      2878     2  0 20:01 ?        00:00:00 [kworker/u8:1]
root      2881     2  0 20:01 ?        00:00:00 [kworker/3:3]
root      2882     2  0 20:01 ?        00:00:00 [kworker/1:1]
root      2905     2  0 20:02 ?        00:00:00 [kworker/2:2]
seank     2927  2384  0 20:02 pts/2    00:00:00 ps -ef
root      4751     2  0 Jan04 ?        00:01:01 [kworker/1:2]
seank     4944  1597  0 Jan04 ?        00:39:39 /usr/lib/firefox/firefox
seank     4972  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
seank     5071  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
seank     5082  1597  0 Jan04 ?        00:00:06 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
seank     5084  1597  0 Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
root      5470     2  0 Jan04 ?        00:00:59 [kworker/1:0]
seank     5879  1597  0 Jan05 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
root     31006     1  0 07:35 ?        00:00:00 /usr/sbin/cups-browsed
